filename,source,split,relative_path
coco2017_03581f2bf42909ad01cc.jpg,coco2017,test,images/coco2017_03581f2bf42909ad01cc.jpg
coco2017_03a81f1fccd99af64a6c.jpg,coco2017,test,images/coco2017_03a81f1fccd99af64a6c.jpg
coco2017_0c9894ea21d9b0341397.jpg,coco2017,test,images/coco2017_0c9894ea21d9b0341397.jpg
coco2017_0cb36a7526db24f7d1d2.jpg,coco2017,test,images/coco2017_0cb36a7526db24f7d1d2.jpg
coco2017_0db10ca31157e1303e3a.jpg,coco2017,test,images/coco2017_0db10ca31157e1303e3a.jpg
coco2017_107f3dbd163c20cc1371.jpg,coco2017,test,images/coco2017_107f3dbd163c20cc1371.jpg
coco2017_15b22fa3187468cb939c.jpg,coco2017,test,images/coco2017_15b22fa3187468cb939c.jpg
coco2017_1898680b8b7e31d8c401.jpg,coco2017,test,images/coco2017_1898680b8b7e31d8c401.jpg
coco2017_1abf0e0bd86b4588c33a.jpg,coco2017,test,images/coco2017_1abf0e0bd86b4588c33a.jpg
coco2017_1ad9a3fd9905c1abf5cc.jpg,coco2017,test,images/coco2017_1ad9a3fd9905c1abf5cc.jpg
coco2017_1dd3af31c9b12ed04357.jpg,coco2017,test,images/coco2017_1dd3af31c9b12ed04357.jpg
coco2017_1fe3db61ce41ccc54aa2.jpg,coco2017,test,images/coco2017_1fe3db61ce41ccc54aa2.jpg
coco2017_228b79e578dda59ae661.jpg,coco2017,test,images/coco2017_228b79e578dda59ae661.jpg
coco2017_23954e05c0ca9411a02d.jpg,coco2017,test,images/coco2017_23954e05c0ca9411a02d.jpg
coco2017_2e21ee854b0c78cb3b30.jpg,coco2017,test,images/coco2017_2e21ee854b0c78cb3b30.jpg
coco2017_2f6d8393fe873bf6f5d6.jpg,coco2017,test,images/coco2017_2f6d8393fe873bf6f5d6.jpg
coco2017_31b620f0e0cfb5a9abee.jpg,coco2017,test,images/coco2017_31b620f0e0cfb5a9abee.jpg
coco2017_32913a46a1f1db3bcc26.jpg,coco2017,test,images/coco2017_32913a46a1f1db3bcc26.jpg
coco2017_32e8c02909ce204d24df.jpg,coco2017,test,images/coco2017_32e8c02909ce204d24df.jpg
coco2017_33a55f27776b2b49340e.jpg,coco2017,test,images/coco2017_33a55f27776b2b49340e.jpg
coco2017_33bbf2ebe1b5a55e7aab.jpg,coco2017,test,images/coco2017_33bbf2ebe1b5a55e7aab.jpg
coco2017_3568c5c0dcc6876f43a9.jpg,coco2017,test,images/coco2017_3568c5c0dcc6876f43a9.jpg
coco2017_35f1cc48630029851e63.jpg,coco2017,test,images/coco2017_35f1cc48630029851e63.jpg
coco2017_3616ead746e113761b98.jpg,coco2017,test,images/coco2017_3616ead746e113761b98.jpg
coco2017_3a4d23d09e41b86f3911.jpg,coco2017,test,images/coco2017_3a4d23d09e41b86f3911.jpg
coco2017_3f29a5476862ca3d3aa7.jpg,coco2017,test,images/coco2017_3f29a5476862ca3d3aa7.jpg
coco2017_41d2dbc1f6b8d6e278e1.jpg,coco2017,test,images/coco2017_41d2dbc1f6b8d6e278e1.jpg
coco2017_43afd94247a140198ecc.jpg,coco2017,test,images/coco2017_43afd94247a140198ecc.jpg
coco2017_47d20bf4df28f07c65ef.jpg,coco2017,test,images/coco2017_47d20bf4df28f07c65ef.jpg
coco2017_49ba5179b49e22bf4ed9.jpg,coco2017,test,images/coco2017_49ba5179b49e22bf4ed9.jpg
coco2017_4c95169474c9c63751fc.jpg,coco2017,test,images/coco2017_4c95169474c9c63751fc.jpg
coco2017_50a7a4c39e94e4ff57d8.jpg,coco2017,test,images/coco2017_50a7a4c39e94e4ff57d8.jpg
coco2017_527c48c879b818df3451.jpg,coco2017,test,images/coco2017_527c48c879b818df3451.jpg
coco2017_571420a11f1c0663a309.jpg,coco2017,test,images/coco2017_571420a11f1c0663a309.jpg
coco2017_5c2d7bd549d2119117b7.jpg,coco2017,test,images/coco2017_5c2d7bd549d2119117b7.jpg
coco2017_5f27b90df12554bdf302.jpg,coco2017,test,images/coco2017_5f27b90df12554bdf302.jpg
coco2017_5fb5880c3a040dc809ee.jpg,coco2017,test,images/coco2017_5fb5880c3a040dc809ee.jpg
coco2017_6e90ccba07130a2aa54b.jpg,coco2017,test,images/coco2017_6e90ccba07130a2aa54b.jpg
coco2017_726191d325618af1fae3.jpg,coco2017,test,images/coco2017_726191d325618af1fae3.jpg
coco2017_76ed21c068197583801e.jpg,coco2017,test,images/coco2017_76ed21c068197583801e.jpg
coco2017_7cab6185d2894cc75554.jpg,coco2017,test,images/coco2017_7cab6185d2894cc75554.jpg
coco2017_7daf6430450b206d24bd.jpg,coco2017,test,images/coco2017_7daf6430450b206d24bd.jpg
coco2017_7fa34041b142d9c20fe8.jpg,coco2017,test,images/coco2017_7fa34041b142d9c20fe8.jpg
coco2017_839bab5f1ad820ee3066.jpg,coco2017,test,images/coco2017_839bab5f1ad820ee3066.jpg
coco2017_83e6b8273cc656a197f3.jpg,coco2017,test,images/coco2017_83e6b8273cc656a197f3.jpg
